op  addr completion
1 140735502426232 2 290
1 140735502426240 2 291
1 140735502426248 2 292
1 140735502426256 2 293
1 140735502426264 2 294
1 140735502426272 2 295
1 140735502426280 2 296
1 140735502426288 2 297
1 140735502426296 2 298
1 140735502426304 2 299
1 140735502426192 1 300
1 140735502426200 1 301
1 140735502426208 1 302
1 140735502426216 1 303
1 140735502426224 1 304
1 140735502426232 1 305
1 140735502426240 1 306
1 140735502426248 1 307
1 140735502426256 1 308
1 140735502426264 1 309
1 140735502426272 1 310
1 140735502426280 1 311
1 140735502426288 1 312
1 140735502426296 1 313
1 140735502426304 1 314
0 140735502426064 0 315
0 140735502426072 0 316
0 140735502426080 0 317
0 140735502426088 0 318
0 140735502426096 0 319
0 140735502426104 0 320
0 140735502426112 0 321
0 140735502426120 0 322
0 140735502426128 0 323
0 140735502426136 0 324
0 140735502426144 0 325
0 140735502426152 0 326
0 140735502426160 0 327
0 140735502426168 0 328
0 140735502426176 0 329
0 140735502426064 2 330
0 140735502426072 2 331
0 140735502426080 2 332
0 140735502426088 2 333
0 140735502426096 2 334
0 140735502426104 2 335
0 140735502426112 2 336
0 140735502426120 2 337
0 140735502426128 2 338
0 140735502426136 2 339
0 140735502426144 2 340
0 140735502426152 2 341
0 140735502426160 2 342
0 140735502426168 2 343
0 140735502426176 2 344
1 140735502426192 2 345
1 140735502426200 2 346
1 140735502426208 2 347
1 140735502426216 2 348
1 140735502426224 2 349
1 140735502426232 2 350
1 140735502426240 2 351
1 140735502426248 2 352
1 140735502426256 2 353
1 140735502426264 2 354
1 140735502426272 2 355
1 140735502426280 2 356
1 140735502426288 2 357
1 140735502426296 2 358
1 140735502426304 2 359
1 140735502426192 1 360
1 140735502426200 1 361
1 140735502426208 1 362
1 140735502426216 1 363
1 140735502426224 1 364
1 140735502426232 1 365
1 140735502426240 1 366
1 140735502426248 1 367
1 140735502426256 1 368
1 140735502426264 1 369
1 140735502426272 1 370
1 140735502426280 1 371
1 140735502426288 1 372
1 140735502426296 1 373
1 140735502426304 1 374
0 140735502426064 0 375
0 140735502426072 0 376
0 140735502426080 0 377
0 140735502426088 0 378
0 140735502426096 0 379
0 140735502426104 0 380
0 140735502426112 0 381
0 140735502426120 0 382
0 140735502426128 0 383
0 140735502426136 0 384
0 140735502426144 0 385
0 140735502426152 0 386
0 140735502426160 0 387
0 140735502426168 0 388
0 140735502426176 0 389
0 140735502426064 2 390
0 140735502426072 2 391
0 140735502426080 2 392
0 140735502426088 2 393
0 140735502426096 2 394
0 140735502426104 2 395
0 140735502426112 2 396
0 140735502426120 2 397
0 140735502426128 2 398
0 140735502426136 2 399
0 140735502426144 2 400
0 140735502426152 2 401
0 140735502426160 2 402
0 140735502426168 2 403
0 140735502426176 2 404
1 140735502426192 2 405
1 140735502426200 2 406
1 140735502426208 2 407
1 140735502426216 2 408
1 140735502426224 2 409
1 140735502426232 2 410
1 140735502426240 2 411
1 140735502426248 2 412
1 140735502426256 2 413
1 140735502426264 2 414
1 140735502426272 2 415
1 140735502426280 2 416
1 140735502426288 2 417
1 140735502426296 2 418
1 140735502426304 2 419
1 140735502426192 1 420
1 140735502426200 1 421
1 140735502426208 1 422
1 140735502426216 1 423
1 140735502426224 1 424
1 140735502426232 1 425
1 140735502426240 1 426
1 140735502426248 1 427
1 140735502426256 1 428
1 140735502426264 1 429
1 140735502426272 1 430
1 140735502426280 1 431
1 140735502426288 1 432
1 140735502426296 1 433
1 140735502426304 1 434
0 140735502426064 0 435
0 140735502426072 0 436
0 140735502426080 0 437
0 140735502426088 0 438
0 140735502426096 0 439
0 140735502426104 0 440
0 140735502426112 0 441
0 140735502426120 0 442
0 140735502426128 0 443
0 140735502426136 0 444
0 140735502426144 0 445
0 140735502426152 0 446
0 140735502426160 0 447
0 140735502426168 0 448
0 140735502426176 0 449
0 140735502426064 2 450
0 140735502426072 2 451
0 140735502426080 2 452
0 140735502426088 2 453
0 140735502426096 2 454
0 140735502426104 2 455
0 140735502426112 2 456
0 140735502426120 2 457
0 140735502426128 2 458
0 140735502426136 2 459
0 140735502426144 2 460
0 140735502426152 2 461
0 140735502426160 2 462
0 140735502426168 2 463
0 140735502426176 2 464
1 140735502426192 2 465
1 140735502426200 2 466
1 140735502426208 2 467
1 140735502426216 2 468
1 140735502426224 2 469
1 140735502426232 2 470
1 140735502426240 2 471
1 140735502426248 2 472
1 140735502426256 2 473
1 140735502426264 2 474
1 140735502426272 2 475
1 140735502426280 2 476
1 140735502426288 2 477
1 140735502426296 2 478
1 140735502426304 2 479
1 140735502426192 1 480
1 140735502426200 1 481
1 140735502426208 1 482
1 140735502426216 1 483
1 140735502426224 1 484
1 140735502426232 1 485
1 140735502426240 1 486
1 140735502426248 1 487
1 140735502426256 1 488
1 140735502426264 1 489
1 140735502426272 1 490
1 140735502426280 1 491
1 140735502426288 1 492
1 140735502426296 1 493
1 140735502426304 1 494
0 140735502426064 0 495
0 140735502426072 0 496
0 140735502426080 0 497
0 140735502426088 0 498
0 140735502426096 0 499
0 140735502426104 0 500
0 140735502426112 0 501
0 140735502426120 0 502
0 140735502426128 0 503
0 140735502426136 0 504
0 140735502426144 0 505
0 140735502426152 0 506
0 140735502426160 0 507
0 140735502426168 0 508
0 140735502426176 0 509
0 140735502426064 2 510
0 140735502426072 2 511
0 140735502426080 2 512
0 140735502426088 2 513
0 140735502426096 2 514
0 140735502426104 2 515
0 140735502426112 2 516
0 140735502426120 2 517
0 140735502426128 2 518
0 140735502426136 2 519
0 140735502426144 2 520
0 140735502426152 2 521
0 140735502426160 2 522
0 140735502426168 2 523
0 140735502426176 2 524
1 140735502426192 2 525
1 140735502426200 2 526
1 140735502426208 2 527
1 140735502426216 2 528
1 140735502426224 2 529
1 140735502426232 2 530
1 140735502426240 2 531
1 140735502426248 2 532
1 140735502426256 2 533
1 140735502426264 2 534
1 140735502426272 2 535
1 140735502426280 2 536
1 140735502426288 2 537
1 140735502426296 2 538
1 140735502426304 2 539
1 140735502426192 1 540
1 140735502426200 1 541
1 140735502426208 1 542
1 140735502426216 1 543
1 140735502426224 1 544
1 140735502426232 1 545
1 140735502426240 1 546
1 140735502426248 1 547
1 140735502426256 1 548
1 140735502426264 1 549
1 140735502426272 1 550
1 140735502426280 1 551
1 140735502426288 1 552
1 140735502426296 1 553
1 140735502426304 1 554
0 140735502426064 0 555
0 140735502426072 0 556
0 140735502426080 0 557
0 140735502426088 0 558
0 140735502426096 0 559
0 140735502426104 0 560
0 140735502426112 0 561
0 140735502426120 0 562
0 140735502426128 0 563
0 140735502426136 0 564
0 140735502426144 0 565
0 140735502426152 0 566
0 140735502426160 0 567
0 140735502426168 0 568
0 140735502426176 0 569
0 140735502426064 2 570
0 140735502426072 2 571
0 140735502426080 2 572
0 140735502426088 2 573
0 140735502426096 2 574
0 140735502426104 2 575
0 140735502426112 2 576
0 140735502426120 2 577
0 140735502426128 2 578
0 140735502426136 2 579
0 140735502426144 2 580
0 140735502426152 2 581
0 140735502426160 2 582
0 140735502426168 2 583
0 140735502426176 2 584
1 140735502426192 2 585
1 140735502426200 2 586
1 140735502426208 2 587
1 140735502426216 2 588
1 140735502426224 2 589
1 140735502426232 2 590
1 140735502426240 2 591
1 140735502426248 2 592
1 140735502426256 2 593
1 140735502426264 2 594
1 140735502426272 2 595
1 140735502426280 2 596
1 140735502426288 2 597
1 140735502426296 2 598
1 140735502426304 2 599
1 140735502426208 1 600
1 140735502426216 1 601
1 140735502426224 1 602
1 140735502426232 1 603
1 140735502426240 1 604
1 140735502426248 1 605
1 140735502426256 1 606
1 140735502426264 1 607
1 140735502426272 1 608
1 140735502426280 1 609
1 140735502426288 1 610
1 140735502426296 1 611
1 140735502426304 1 612
1 140735502426312 1 613
1 140735502426192 1 614
0 140735502426064 0 615
0 140735502426072 0 616
0 140735502426080 0 617
0 140735502426088 0 618
0 140735502426096 0 619
0 140735502426104 0 620
0 140735502426112 0 621
0 140735502426120 0 622
0 140735502426128 0 623
0 140735502426136 0 624
0 140735502426144 0 625
0 140735502426152 0 626
0 140735502426160 0 627
0 140735502426168 0 628
0 140735502426176 0 629
0 140735502426064 2 630
0 140735502426072 2 631
0 140735502426080 2 632
0 140735502426088 2 633
0 140735502426096 2 634
0 140735502426104 2 635
0 140735502426112 2 636
0 140735502426120 2 637
0 140735502426128 2 638
0 140735502426136 2 639
0 140735502426144 2 640
0 140735502426152 2 641
0 140735502426160 2 642
0 140735502426168 2 643
0 140735502426176 2 644
1 140735502426208 2 645
1 140735502426216 2 646
1 140735502426224 2 647
1 140735502426232 2 648
1 140735502426240 2 649
1 140735502426248 2 650
1 140735502426256 2 651
1 140735502426264 2 652
1 140735502426272 2 653
1 140735502426280 2 654
1 140735502426288 2 655
1 140735502426296 2 656
1 140735502426304 2 657
1 140735502426312 2 658
1 140735502426192 2 659
1 140735502426208 1 660
1 140735502426216 1 661
1 140735502426224 1 662
1 140735502426232 1 663
1 140735502426240 1 664
1 140735502426248 1 665
1 140735502426256 1 666
1 140735502426264 1 667
1 140735502426272 1 668
1 140735502426280 1 669
1 140735502426288 1 670
1 140735502426296 1 671
1 140735502426304 1 672
1 140735502426312 1 673
1 140735502426192 1 674
0 140735502426064 0 675
0 140735502426072 0 676
0 140735502426080 0 677
0 140735502426088 0 678
0 140735502426096 0 679
0 140735502426104 0 680
0 140735502426112 0 681
0 140735502426120 0 682
0 140735502426128 0 683
0 140735502426136 0 684
0 140735502426144 0 685
0 140735502426152 0 686
0 140735502426160 0 687
0 140735502426168 0 688
0 140735502426176 0 689
0 140735502426064 2 690
0 140735502426072 2 691
0 140735502426080 2 692
0 140735502426088 2 693
0 140735502426096 2 694
0 140735502426104 2 695
0 140735502426112 2 696
0 140735502426120 2 697
0 140735502426128 2 698
0 140735502426136 2 699
0 140735502426144 2 700
0 140735502426152 2 701
0 140735502426160 2 702
0 140735502426168 2 703
0 140735502426176 2 704
1 140735502426208 2 705
1 140735502426216 2 706
1 140735502426224 2 707
1 140735502426232 2 708
1 140735502426240 2 709
1 140735502426248 2 710
1 140735502426256 2 711
1 140735502426264 2 712
1 140735502426272 2 713
1 140735502426280 2 714
1 140735502426288 2 715
1 140735502426296 2 716
1 140735502426304 2 717
1 140735502426312 2 718
1 140735502426192 2 719
1 140735502426208 1 720
1 140735502426216 1 721
1 140735502426224 1 722
1 140735502426232 1 723
1 140735502426240 1 724
1 140735502426248 1 725
1 140735502426256 1 726
1 140735502426264 1 727
1 140735502426272 1 728
1 140735502426280 1 729
1 140735502426288 1 730
1 140735502426296 1 731
1 140735502426304 1 732
1 140735502426312 1 733
1 140735502426192 1 734
0 140735502426064 0 735
0 140735502426072 0 736
0 140735502426080 0 737
0 140735502426088 0 738
0 140735502426096 0 739
0 140735502426104 0 740
0 140735502426112 0 741
0 140735502426120 0 742
0 140735502426128 0 743
0 140735502426136 0 744
0 140735502426144 0 745
0 140735502426152 0 746
0 140735502426160 0 747
0 140735502426168 0 748
0 140735502426176 0 749
0 140735502426064 2 750
0 140735502426072 2 751
0 140735502426080 2 752
0 140735502426088 2 753
0 140735502426096 2 754
0 140735502426104 2 755
0 140735502426112 2 756
0 140735502426120 2 757
0 140735502426128 2 758
0 140735502426136 2 759
0 140735502426144 2 760
0 140735502426152 2 761
0 140735502426160 2 762
0 140735502426168 2 763
0 140735502426176 2 764
1 140735502426208 2 765
1 140735502426216 2 766
1 140735502426224 2 767
1 140735502426232 2 768
1 140735502426240 2 769
1 140735502426248 2 770
1 140735502426256 2 771
1 140735502426264 2 772
1 140735502426272 2 773
1 140735502426280 2 774
1 140735502426288 2 775
1 140735502426296 2 776
1 140735502426304 2 777
1 140735502426312 2 778
1 140735502426192 2 779
1 140735502426208 1 780
1 140735502426216 1 781
1 140735502426224 1 782
1 140735502426232 1 783
1 140735502426240 1 784
1 140735502426248 1 785
1 140735502426256 1 786
1 140735502426264 1 787
1 140735502426272 1 788
1 140735502426280 1 789
1 140735502426288 1 790
1 140735502426296 1 791
1 140735502426304 1 792
1 140735502426312 1 793
1 140735502426192 1 794
0 140735502426064 0 795
0 140735502426072 0 796
0 140735502426080 0 797
0 140735502426088 0 798
0 140735502426096 0 799
0 140735502426104 0 800
0 140735502426112 0 801
0 140735502426120 0 802
0 140735502426128 0 803
0 140735502426136 0 804
0 140735502426144 0 805
0 140735502426152 0 806
0 140735502426160 0 807
0 140735502426168 0 808
0 140735502426176 0 809
0 140735502426064 2 810
0 140735502426072 2 811
0 140735502426080 2 812
0 140735502426088 2 813
0 140735502426096 2 814
0 140735502426104 2 815
0 140735502426112 2 816
0 140735502426120 2 817
0 140735502426128 2 818
0 140735502426136 2 819
0 140735502426144 2 820
0 140735502426152 2 821
0 140735502426160 2 822
0 140735502426168 2 823
0 140735502426176 2 824
1 140735502426208 2 825
1 140735502426216 2 826
1 140735502426224 2 827
1 140735502426232 2 828
1 140735502426240 2 829
1 140735502426248 2 830
1 140735502426256 2 831
1 140735502426264 2 832
1 140735502426272 2 833
1 140735502426280 2 834
1 140735502426288 2 835
1 140735502426296 2 836
1 140735502426304 2 837
1 140735502426312 2 838
1 140735502426192 2 839
1 140735502426208 1 840
1 140735502426216 1 841
1 140735502426224 1 842
1 140735502426232 1 843
1 140735502426240 1 844
1 140735502426248 1 845
1 140735502426256 1 846
1 140735502426264 1 847
1 140735502426272 1 848
1 140735502426280 1 849
1 140735502426288 1 850
1 140735502426296 1 851
1 140735502426304 1 852
1 140735502426312 1 853
1 140735502426192 1 854
0 140735502426064 0 855
0 140735502426072 0 856
0 140735502426080 0 857
0 140735502426088 0 858
0 140735502426096 0 859
0 140735502426104 0 860
0 140735502426112 0 861
0 140735502426120 0 862
0 140735502426128 0 863
0 140735502426136 0 864
0 140735502426144 0 865
0 140735502426152 0 866
0 140735502426160 0 867
0 140735502426168 0 868
0 140735502426176 0 869
0 140735502426064 2 870
0 140735502426072 2 871
0 140735502426080 2 872
0 140735502426088 2 873
0 140735502426096 2 874
0 140735502426104 2 875
0 140735502426112 2 876
0 140735502426120 2 877
0 140735502426128 2 878
0 140735502426136 2 879
0 140735502426144 2 880
0 140735502426152 2 881
0 140735502426160 2 882
0 140735502426168 2 883
0 140735502426176 2 884
1 140735502426208 2 885
1 140735502426216 2 886
1 140735502426224 2 887
1 140735502426232 2 888
1 140735502426240 2 889
1 140735502426248 2 890
1 140735502426256 2 891
1 140735502426264 2 892
1 140735502426272 2 893
1 140735502426280 2 894
1 140735502426288 2 895
1 140735502426296 2 896
1 140735502426304 2 897
1 140735502426312 2 898
1 140735502426192 2 899
1 140735502426208 1 900
1 140735502426216 1 901
1 140735502426224 1 902
1 140735502426232 1 903
1 140735502426240 1 904
1 140735502426248 1 905
1 140735502426256 1 906
1 140735502426264 1 907
1 140735502426272 1 908
1 140735502426280 1 909
1 140735502426288 1 910
1 140735502426296 1 911
1 140735502426304 1 912
1 140735502426312 1 913
1 140735502426192 1 914
0 140735502426064 0 915
0 140735502426072 0 916
0 140735502426080 0 917
0 140735502426088 0 918
0 140735502426096 0 919
0 140735502426104 0 920
0 140735502426112 0 921
0 140735502426120 0 922
0 140735502426128 0 923
0 140735502426136 0 924
0 140735502426144 0 925
0 140735502426152 0 926
0 140735502426160 0 927
0 140735502426168 0 928
0 140735502426176 0 929
0 140735502426064 2 930
0 140735502426072 2 931
0 140735502426080 2 932
0 140735502426088 2 933
0 140735502426096 2 934
0 140735502426104 2 935
0 140735502426112 2 936
0 140735502426120 2 937
0 140735502426128 2 938
0 140735502426136 2 939
0 140735502426144 2 940
0 140735502426152 2 941
0 140735502426160 2 942
0 140735502426168 2 943
0 140735502426176 2 944
1 140735502426208 2 945
1 140735502426216 2 946
1 140735502426224 2 947
1 140735502426232 2 948
1 140735502426240 2 949
1 140735502426248 2 950
1 140735502426256 2 951
1 140735502426264 2 952
1 140735502426272 2 953
1 140735502426280 2 954
1 140735502426288 2 955
1 140735502426296 2 956
1 140735502426304 2 957
1 140735502426312 2 958
1 140735502426192 2 959
1 140735502426208 1 960
1 140735502426216 1 961
1 140735502426224 1 962
1 140735502426232 1 963
1 140735502426240 1 964
1 140735502426248 1 965
1 140735502426256 1 966
1 140735502426264 1 967
1 140735502426272 1 968
1 140735502426280 1 969
1 140735502426288 1 970
1 140735502426296 1 971
1 140735502426304 1 972
1 140735502426312 1 973
1 140735502426192 1 974
0 140735502426064 0 975
0 140735502426072 0 976
0 140735502426080 0 977
0 140735502426088 0 978
0 140735502426096 0 979
0 140735502426104 0 980
0 140735502426112 0 981
0 140735502426120 0 982
0 140735502426128 0 983
0 140735502426136 0 984
0 140735502426144 0 985
0 140735502426152 0 986
0 140735502426160 0 987
0 140735502426168 0 988
0 140735502426176 0 989
0 140735502426064 2 990
0 140735502426072 2 991
0 140735502426080 2 992
0 140735502426088 2 993
0 140735502426096 2 994
0 140735502426104 2 995
0 140735502426112 2 996
0 140735502426120 2 997
0 140735502426128 2 998
0 140735502426136 2 999
0 140735502426144 2 1000
0 140735502426152 2 1001
0 140735502426160 2 1002
0 140735502426168 2 1003
0 140735502426176 2 1004
1 140735502426208 2 1005
1 140735502426216 2 1006
1 140735502426224 2 1007
1 140735502426232 2 1008
1 140735502426240 2 1009
1 140735502426248 2 1010
1 140735502426256 2 1011
1 140735502426264 2 1012
1 140735502426272 2 1013
1 140735502426280 2 1014
1 140735502426288 2 1015
1 140735502426296 2 1016
1 140735502426304 2 1017
1 140735502426312 2 1018
1 140735502426192 2 1019
1 140735502426208 1 1020
1 140735502426216 1 1021
1 140735502426224 1 1022
1 140735502426232 1 1023
1 140735502426240 1 1024
1 140735502426248 1 1025
1 140735502426256 1 1026
1 140735502426264 1 1027
1 140735502426272 1 1028
1 140735502426280 1 1029
1 140735502426288 1 1030
1 140735502426296 1 1031
1 140735502426304 1 1032
1 140735502426312 1 1033
1 140735502426192 1 1034
0 140735502426064 0 1035
0 140735502426072 0 1036
0 140735502426080 0 1037
0 140735502426088 0 1038
0 140735502426096 0 1039
0 140735502426104 0 1040
0 140735502426112 0 1041
0 140735502426120 0 1042
0 140735502426128 0 1043
0 140735502426136 0 1044
0 140735502426144 0 1045
0 140735502426152 0 1046
0 140735502426160 0 1047
0 140735502426168 0 1048
0 140735502426176 0 1049
0 140735502426064 2 1050
0 140735502426072 2 1051
0 140735502426080 2 1052
0 140735502426088 2 1053
0 140735502426096 2 1054
0 140735502426104 2 1055
0 140735502426112 2 1056
0 140735502426120 2 1057
0 140735502426128 2 1058
0 140735502426136 2 1059
0 140735502426144 2 1060
0 140735502426152 2 1061
0 140735502426160 2 1062
0 140735502426168 2 1063
0 140735502426176 2 1064
1 140735502426208 2 1065
1 140735502426216 2 1066
1 140735502426224 2 1067
1 140735502426232 2 1068
1 140735502426240 2 1069
1 140735502426248 2 1070
1 140735502426256 2 1071
1 140735502426264 2 1072
1 140735502426272 2 1073
1 140735502426280 2 1074
1 140735502426288 2 1075
1 140735502426296 2 1076
1 140735502426304 2 1077
1 140735502426312 2 1078
1 140735502426192 2 1079
1 140735502426208 1 1080
1 140735502426216 1 1081
1 140735502426224 1 1082
1 140735502426232 1 1083
1 140735502426240 1 1084
1 140735502426248 1 1085
1 140735502426256 1 1086
1 140735502426264 1 1087
1 140735502426272 1 1088
1 140735502426280 1 1089
1 140735502426288 1 1090
1 140735502426296 1 1091
1 140735502426304 1 1092
1 140735502426312 1 1093
1 140735502426192 1 1094
0 140735502426064 0 1095
0 140735502426072 0 1096
0 140735502426080 0 1097
0 140735502426088 0 1098
0 140735502426096 0 1099
0 140735502426104 0 1100
0 140735502426112 0 1101
0 140735502426120 0 1102
0 140735502426128 0 1103
0 140735502426136 0 1104
0 140735502426144 0 1105
0 140735502426152 0 1106
0 140735502426160 0 1107
0 140735502426168 0 1108
0 140735502426176 0 1109
0 140735502426064 2 1110
0 140735502426072 2 1111
0 140735502426080 2 1112
0 140735502426088 2 1113
0 140735502426096 2 1114
0 140735502426104 2 1115
0 140735502426112 2 1116
0 140735502426120 2 1117
0 140735502426128 2 1118
0 140735502426136 2 1119
0 140735502426144 2 1120
0 140735502426152 2 1121
0 140735502426160 2 1122
0 140735502426168 2 1123
0 140735502426176 2 1124
1 140735502426208 2 1125
1 140735502426216 2 1126
1 140735502426224 2 1127
1 140735502426232 2 1128
1 140735502426240 2 1129
1 140735502426248 2 1130
1 140735502426256 2 1131
1 140735502426264 2 1132
1 140735502426272 2 1133
1 140735502426280 2 1134
1 140735502426288 2 1135
1 140735502426296 2 1136
1 140735502426304 2 1137
1 140735502426312 2 1138
1 140735502426192 2 1139
1 140735502426208 1 1140
1 140735502426216 1 1141
1 140735502426224 1 1142
1 140735502426232 1 1143
1 140735502426240 1 1144
1 140735502426248 1 1145
1 140735502426256 1 1146
1 140735502426264 1 1147
1 140735502426272 1 1148
1 140735502426280 1 1149
1 140735502426288 1 1150
1 140735502426296 1 1151
